CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
EVTOPTA1102;Great;Formidable;Großartig;;Magnífico;;;;;;;;;x
EVTNAME1103;Anschluss - Austria Becomes an Ally;Anschluss de l'Autriche - l'Autriche devient un allié;Anschluss - Österreich wird zum Verbündeten;;Anschluss: Austria se convierte en aliada;;;;;;;;;x
EVTDESC1103;Demands for the union (Anschluss) of Austria and Germany increased after Adolf Hitler became German Chancellor. In February,1938, Hitler invited Kurt von Schuschnigg, the Austrian Chancellor, to meet him at Berchtesgarden. Hitler demanded concessions for the Austrian Nazi Party. Schuschnigg refused and on 9th March 1938, the Austrian Chancellor announced a plebiscite on the independence of Austria. Adolf Hitler took this as an opportunity to take action against the Austrian State. Schuschnigg was pressed to resign. On the morning of 12th March 1938, troops of the German Wehrmacht and the SS crossed the German-Austrian border. On 13th March 1938, Hitler announced in Linz the legislation on the 'Anschluss' (Annexation) of Austria into the German Reich.;Les voix en faveur de l'unification (Anschluss) de l'Autriche et de l'Allemagne se font plus pressantes après la nomination d'Adolf Hitler comme chancelier allemand. En février 1938, Hitler convie Kurt von Schuschnigg, le chancelier autrichien, à une rencontre à Berchtesgaden. Hitler exige des mesures en faveur du Parti Nazi Autrichien. Schuschnigg refuse et le 9 mars 1938, il annonce la tenue d'un référendum sur l'indépendance de l'Autriche. Adolf Hitler saisit ce prétexte pour agir ouvertement contre l'État autrichien. Schuschnigg est contraint à démissionner. Le national socialiste Arthur Seyss-Inquart devient chancelier et forme un nouveau gouvernement. Les nazis autrichiens détiennent tous les pouvoirs en Autriche. Au petit matin du 12 mars 1938, les troupes de la Wehrmacht allemande et des SS franchissent la frontière germano-autrichienne. Le 13 mars 1938, Hitler proclame à Linz le rattachement (Anschluss) de l'Autriche au Reich allemand.;Nachdem Adolf Hitler deutscher Reichskanzler geworden war, nahmen die Forderungen nach dem Anschluss Österreichs an das Deutsche Reich zu. Im Februar 1938 lud Hitler den österreichischen Kanzler Kurt von Schuschnigg nach Berchtesgaden ein. Hitler verlangte Zugeständnisse für die österreichische Nazi-Partei, die Schuschnigg ausschlug und stattdessen am 9. März 1938 eine Volksabstimmung über die Unabhängigkeit Österreichs ankündigte. Dies nahm Adolf Hitler als Gelegenheit, gegen den österreichischen Staat vorzugehen und zwang Schuschnigg zum Rücktritt. Am 12. März 1938 überquerten Truppen der Wehrmacht und der SS die Grenze zu Österreich. Einen Tag später erklärte Hitler in Linz den rechtmäßigen Anschluss Österreichs ans Deutsche Reich.;;Las exigencias de la anexión (Anschluss) de Austria por parte de Alemania aumentaron después de que Adolf Hitler pasase a ser canciller de ésta. En febrero de 1938, Hitler invitó al canciller austriaco, Kurt von Schuschnigg, a reunirse con él en Berchtesgaden. Hitler le exigió concesiones para el partido nazi de Austria. Schuschnigg se las denegó y, el 9 de marzo de 1938, el canciller austriaco anunció un plebiscito sobre la independencia de Austria. Adolf Hitler se tomó esto como una oportunidad para emprender acciones contra el estado austriaco. Schuschnigg fue obligado a dimitir. La mañana del 12 de marzo de 1938, las tropas alemanas de la Wehrmacht y las SS cruzaron la frontera germano-austriaca. El 13 de marzo de 1938, Hitler anunció en Linz la legislación de la 'Anschluss' (anexión) de Austria con el Reich alemán.;;;;;;;;;x
EVTOPTA1103;Fair enough;D'accord;In Ordnung;;Está bien;;;;;;;;;x
EVTNAME1104;Anschluss - Austria Refuses;Anschluss de l'Autriche - l'Autriche refuse;Anschluss - Österreich lehnt ab;;Anschluss: Austria se niega;;;;;;;;;x
EVTDESC1104;Demands for the union (Anschluss) of Austria and Germany increased after Adolf Hitler became German Chancellor. In February,1938, Hitler invited Kurt von Schuschnigg, the Austrian Chancellor, to meet him at Berchtesgarden. Hitler demanded concessions for the Austrian Nazi Party. Schuschnigg refused and on 9th March 1938, the Austrian Chancellor announced a plebiscite on the independence of Austria. Adolf Hitler took this as an opportunity to take action against the Austrian State. Schuschnigg was pressed to resign. On the morning of 12th March 1938, troops of the German Wehrmacht and the SS crossed the German-Austrian border. On 13th March 1938, Hitler announced in Linz the legislation on the 'Anschluss' (Annexation) of Austria into the German Reich.;Les voix en faveur de l'unification (Anschluss) de l'Autriche et de l'Allemagne se font plus pressantes après la nomination d'Adolf Hitler comme chancelier allemand. En février 1938, Hitler convie Kurt von Schuschnigg, le chancelier autrichien, à une rencontre à Berchtesgaden. Hitler exige des mesures en faveur du Parti Nazi Autrichien. Schuschnigg refuse et le 9 mars 1938, il annonce la tenue d'un référendum sur l'indépendance de l'Autriche. Adolf Hitler saisit ce prétexte pour agir ouvertement contre l'État autrichien. Schuschnigg est contraint à démissionner. Le national socialiste Arthur Seyss-Inquart devient chancelier et forme un nouveau gouvernement. Les nazis autrichiens détiennent tous les pouvoirs en Autriche. Au petit matin du 12 mars 1938, les troupes de la Wehrmacht allemande et des SS franchissent la frontière germano-autrichienne. Le 13 mars 1938, Hitler proclame à Linz le rattachement (Anschluss) de l'Autriche au Reich allemand.;Nachdem Adolf Hitler deutscher Reichskanzler geworden war, nahmen die Forderungen nach dem Anschluss Österreichs an das Deutsche Reich zu. Im Februar 1938 lud Hitler den österreichischen Kanzler Kurt von Schuschnigg nach Berchtesgaden ein. Hitler verlangte Zugeständnisse für die österreichische Nazi-Partei, die Schuschnigg ausschlug und stattdessen am 9. März 1938 eine Volksabstimmung über die Unabhängigkeit Österreichs ankündigte. Dies nahm Adolf Hitler als Gelegenheit, gegen den österreichischen Staat vorzugehen und zwang Schuschnigg zum Rücktritt. Am 12. März 1938 überquerten Truppen der Wehrmacht und der SS die Grenze zu Österreich. Einen Tag später erklärte Hitler in Linz den rechtmäßigen Anschluss Österreichs ans Deutsche Reich.;;Las exigencias de la anexión (Anschluss) de Austria por parte de Alemania aumentaron después de que Adolf Hitler pasase a ser canciller de ésta. En febrero de 1938, Hitler invitó al canciller austriaco, Kurt von Schuschnigg, a reunirse con él en Berchtesgaden. Hitler le exigió concesiones para el partido nazi de Austria. Schuschnigg se las denegó y, el 9 de marzo de 1938, el canciller austriaco anunció un plebiscito sobre la independencia de Austria. Adolf Hitler se tomó esto como una oportunidad para emprender acciones contra el estado austriaco. Schuschnigg fue obligado a dimitir. La mañana del 12 de marzo de 1938, las tropas alemanas de la Wehrmacht y las SS cruzaron la frontera germano-austriaca. El 13 de marzo de 1938, Hitler anunció en Linz la legislación de la 'Anschluss' (anexión) de Austria con el Reich alemán.;;;;;;;;;x
EVTOPTA1104;War it is then;Alors c'est la guerre;Das bedeutet Krieg;;Pues será la guerra;;;;;;;;;x
EVTNAME1201;The Treaty of Munich;Les Accords de Munich;Das Münchner Abkommen;;Los Acuerdos de Munich;;;;;;;;;x
EVTDESC1201;During the summer of 1938 the pro-Nazi elements among the Czech Germans demanded the right to secede from Czechoslovakia, a move that created enormous tension between Germany and Czechoslovakia. Hitler, using the minority sentiments in the Sudetenland, started to propagandize about ‘Czech Atrocities’ against ethnic Germans in an effort to lay the blame of a future conflict on the Czech government. At the same time as German troops infiltrated the Bohemian borderlands Hitler agreed to host a Peace Conference in Munich. Hitler, Chamberlain, Daladier, and Mussolini met and agreed that Hitler should have the Sudetenland of Czechoslovakia. The Czechs, who were not represented at the meeting, realised that their own allies were deserting them and under the pressure from the French and British they were forced to surrender the Sudetenland to Germany.;"Au cours de l'été 1938, les éléments pro nazis de la minorité allemande de Tchécoslovaquie exigent le rattachement de leurs régions à l'Allemagne, ce qui crée d'importantes tensions entre l'Allemagne et la Tchécoslovaquie. Hitler, jouant sur les ressentiments de la minorité sudète, lance une vaste opération de propagande dénonçant les 'Atrocités tchécoslovaques' contre la minorité allemande, afin de pouvoir faire porter le chapeau au gouvernement tchécoslovaque dans le cas d'un conflit ultérieur. Alors que des troupes allemandes infiltrent les régions frontalières de Bohème, Hitler accepte d'organiser une conférence de paix à Munich. Hitler, Chamberlain, Daladier et Mussolini y participent et conviennent de l'annexion des Sudètes par Hitler. Les Tchécoslovaques, qui n'ont pas participé à la conférence, réalisent que leur alliés les abandonnent et qu'ils sont, soumis à la pression de la France et de l'Angleterre, forcés de livrer les Sudètes à l'Allemagne. Hitler garantit aux autres nations que ses ambitions expansionnistes n'iront pas au-delà. Chamberlain revient en Angleterre avec un document ratifié par Hitler, proclamant la ""paix pour notre époque""...";Während des Sommers von 1938 forderten die nationalsozialistisch Gesinnten unter der deutschen Minderheit in der Tschechoslowakei das Recht zur Abspaltung, was zwischen Deutschland und der Tschechoslowakei zu enormen Spannungen führte. Hitler machte sich diese Ansichten mancher Sudetendeutschen zunutze und startete einen Propagandafeldzug gegen vermeintliche tschechische Gräueltaten gegen Volksdeutsche, um die Schuld für einen zukünftigen Konflikt der tschechischen Regierung in die Schuhe zu schieben. Zur gleichen Zeit, als deutsche Truppen das böhmische Grenzland infiltrierten, stimmte Hitler einer Friedenskonferenz in München zu. Dort trafen sich Chamberlain, Daladier, Mussolini und Hitler und beschlossen die Abtretung des Sudetenlands an Deutschland. Die Tschechen, die nicht an der Konferenz teilnahmen, bemerkten wohl, dass sie von ihren Alliierten im Stich gelassen wurden, mussten das Sudetenland jedoch unter französischem und britischem Druck hergeben.;;Durante el verano de 1938, los elementos pronazis entre los checos alemanes exigieron el derecho a separarse de Checoslovaquia, acción que creó una enorme tensión entre este país y Alemania. Hitler, utilizando los sentimientos de la minoría en los Sudetes, comenzó a lanzar propaganda sobre las 'atrocidades checas' contra los miembros de la etnia alemana, con el propósito de culpar al Gobierno checo de un futuro conflicto. Al mismo tiempo que las tropas alemanas se infiltraban por la frontera de Bohemia, Hitler aceptó celebrar una Conferencia de Paz en Munich. Hitler, Chamberlain, Daladier y Mussolini se reunieron y aceptaron que Hitler se quedase con los Sudetes en Checoslovaquia. Los checos, que no estaban representados en la conferencia, comprendieron que sus propios aliados les abandonaban y, ante la presión de franceses y británicos, fueron obligados a entregar los Sudetes a Alemania.;;;;;;;;;x
EVTOPTA1201;Accept the Claims;Accepter les exigences;Forderungen akzeptieren;;Aceptar las exigencias;;;;;;;;;x
EVTOPTB1201;Join the Axis;Rejoindre l'Axe;Den Achsenmächten beitreten;;Unirse al Eje;;;;;;;;;x
EVTOPTC1201;No Way!;Jamais !;Auf keinen Fall!;;¡Ni hablar!;;;;;;;;;x
EVTNAME1202;The Treaty of Munich - Sudetenland to Germany;Les Accords de Munich - Les Sudètes à l'Allemagne;Das Münchner Abkommen - Sudetenland an Deutschland;;Los Acuerdos de Munich: Los Sudetes se entregan a Alemania;;;;;;;;;x
EVTDESC1202;During the summer of 1938 pro-Nazi elements among Czech Germans demanded the right to secede from Czechoslovakia, a move that created enormous tension between Germany and Czechoslovakia. Hitler, using the minority sentiments in Sudetenland, began propagandizing about ‘Czech Atrocities’ against ethnic Germans in an effort to lay blame for a future conflict on the Czech government. At the same time as German troops infiltrated the Bohemian borderlands Hitler agreed to host a Peace Conference in Munich. Hitler, Chamberlain, Daladier, and Mussolini met and agreed that Hitler should have the Sudetenland of Czechoslovakia. The Czechs, who were not represented at the meeting, realised that their own allies were deserting them and under pressure from the French and British they were forced to surrender the Sudetenland to Germany.;"Au cours de l'été 1938, les éléments pro nazis de la minorité allemande de Tchécoslovaquie exigent le rattachement de leurs régions à l'Allemagne, ce qui créé d'importantes tensions entre l'Allemagne et la Tchécoslovaquie. Hitler, jouant sur les ressentiments de la minorité sudète, lance une vaste opération de propagande dénonçant les 'Atrocités tchécoslovaques' contre la minorité allemande, afin de pouvoir faire porter le chapeau au gouvernement tchécoslovaque dans le cas d'un conflit ultérieur. Alors que des troupes allemandes infiltrent les régions frontalières de Bohème, Hitler accepte d'organiser une conférence de paix à Munich. Hitler, Chamberlain, Daladier et Mussolini y participent et conviennent de l'annexion des Sudètes par Hitler. Les Tchécoslovaques, qui n'ont pas participé à la conférence, réalisent que leur alliés les abandonnent et qu'ils sont, soumis à la pression de la France et de l'Angleterre, forcés de livrer les Sudètes à l'Allemagne. Hitler garantit aux autres nations que ses ambitions expansionnistes n'iront pas au-delà. Chamberlain revient en Angleterre avec un document ratifié par Hitler, proclamant la ""paix pour notre époque""...";Während des Sommers von 1938 forderten die nationalsozialistisch Gesinnten unter der deutschen Minderheit in der Tschechoslowakei das Recht zur Abspaltung, was zwischen Deutschland und der Tschechoslowakei zu enormen Spannungen führte. Hitler machte sich diese Ansichten mancher Sudetendeutschen zunutze und startete einen Propagandafeldzug gegen vermeintliche tschechische Gräueltaten gegen Volksdeutsche, um die Schuld für einen zukünftigen Konflikt der tschechischen Regierung in die Schuhe zu schieben. Zur gleichen Zeit, als deutsche Truppen das böhmische Grenzland infiltrierten, stimmte Hitler einer Friedenskonferenz in München zu. Dort trafen sich Chamberlain, Daladier, Mussolini und Hitler und beschlossen die Abtretung des Sudetenlands an Deutschland. Die Tschechen, die nicht an der Konferenz teilnahmen, bemerkten wohl, dass sie von ihren Alliierten im Stich gelassen wurden, mussten das Sudetenland jedoch unter französischem und britischem Druck hergeben.;;Durante el verano de 1938, los elementos pronazis entre los checos alemanes exigieron el derecho a separarse de Checoslovaquia, acción que creó una enorme tensión entre este país y Alemania. Hitler, utilizando los sentimientos de la minoría de los Sudetes, comenzó a lanzar propaganda sobre las 'atrocidades checas' contra los miembros de la etnia alemana, con el propósito de culpar al gobierno checo de un futuro conflicto. Al mismo tiempo que las tropas alemanas se infiltraban por la frontera de Bohemia, Hitler aceptó celebrar una Conferencia de Paz en Munich. Hitler, Chamberlain, Daladier y Mussolini se reunieron y aceptaron que Hitler se quedase con los Sudetes en Checoslovaquia. Los checos, que no estaban representados en la conferencia, comprendieron que sus propios aliados les abandonaban y, ante la presión de franceses y británicos, fueron obligados a entregar los Sudetes a Alemania.;;;;;;;;;x
EVTOPTA1202;Good;Bien;Gut;;Buenos;;;;;;;;;x
EVTNAME1203;The Treaty of Munich - Czechoslovakia joins the Axis;Les Accords de Munich - La Tchécoslovaquie rejoint l'Axe;Das Münchner Abkommen - Tschechoslowakei tritt den Achsenmächten bei;;Los Acuerdos de Munich: Checoslovaquia se une al Eje;;;;;;;;;x
EVTDESC1203;During the summer of 1938 pro-Nazi elements among Czech Germans demanded the right to secede from Czechoslovakia, a move that created enormous tension between Germany and Czechoslovakia. Hitler, using the minority sentiments in Sudetenland, began propagandizing about ‘Czech Atrocities’ against ethnic Germans in an effort to lay blame for a future conflict on the Czech government. At the same time as German troops infiltrated the Bohemian borderlands Hitler agreed to host a Peace Conference in Munich. Hitler, Chamberlain, Daladier, and Mussolini met and agreed that Hitler should have the Sudetenland of Czechoslovakia. The Czechs, who were not represented at the meeting, realised that their own allies were deserting them and under pressure from the French and British they were forced to surrender the Sudetenland to Germany.;"Au cours de l'été 1938, les éléments pro nazis de la minorité allemande de Tchécoslovaquie exigent le rattachement de leurs régions à l'Allemagne, ce qui créé d'importantes tensions entre l'Allemagne et la Tchécoslovaquie. Hitler, jouant sur les ressentiments de la minorité sudète, lance une vaste opération de propagande dénonçant les 'Atrocités tchécoslovaques' contre la minorité allemande, afin de pouvoir faire porter le chapeau au gouvernement tchécoslovaque dans le cas d'un conflit ultérieur. Alors que des troupes allemandes infiltrent les régions frontalières de Bohème, Hitler accepte d'organiser une conférence de paix à Munich. Hitler, Chamberlain, Daladier et Mussolini y participent et conviennent de l'annexion des Sudètes par Hitler. Les Tchécoslovaques, qui n'ont pas participé à la conférence, réalisent que leur alliés les abandonnent et qu'ils sont, soumis à la pression de la France et de l'Angleterre, forcés de livrer les Sudètes à l'Allemagne. Hitler garantit aux autres nations que ses ambitions expansionnistes n'iront pas au-delà. Chamberlain revient en Angleterre avec un document ratifié par Hitler, proclamant la ""paix pour notre époque""...";Während des Sommers von 1938 forderten die nationalsozialistisch Gesinnten unter der deutschen Minderheit in der Tschechoslowakei das Recht zur Abspaltung, was zwischen Deutschland und der Tschechoslowakei zu enormen Spannungen führte. Hitler machte sich diese Ansichten mancher Sudetendeutschen zunutze und startete einen Propagandafeldzug gegen vermeintliche tschechische Gräueltaten gegen Volksdeutsche, um die Schuld für einen zukünftigen Konflikt der tschechischen Regierung in die Schuhe zu schieben. Zur gleichen Zeit, als deutsche Truppen das böhmische Grenzland infiltrierten, stimmte Hitler einer Friedenskonferenz in München zu. Dort trafen sich Chamberlain, Daladier, Mussolini und Hitler und beschlossen die Abtretung des Sudetenlands an Deutschland. Die Tschechen, die nicht an der Konferenz teilnahmen, bemerkten wohl, dass sie von ihren Alliierten im Stich gelassen wurden, mussten das Sudetenland jedoch unter französischem und britischem Druck hergeben.;;Durante el verano de 1938, los elementos pronazis entre los checos alemanes exigieron el derecho a separarse de Checoslovaquia, acción que creó una enorme tensión entre este país y Alemania. Hitler, utilizando los sentimientos de la minoría de los Sudetes, comenzó a lanzar propaganda sobre las 'atrocidades checas' contra los miembros de la etnia alemana, con el propósito de culpar al Gobierno checo de un futuro conflicto. Al mismo tiempo que las tropas alemanas se infiltraban por la frontera de Bohemia, Hitler aceptó celebrar una Conferencia de Paz en Munich. Hitler, Chamberlain, Daladier y Mussolini se reunieron y aceptaron que Hitler se quedase con los Sudetes en Checoslovaquia. Los checos, que no estaban representados en la conferencia, comprendieron que sus propios aliados les abandonaban y, ante la presión de franceses y británicos, fueron obligados a entregar los Sudetes a Alemania.;;;;;;;;;x
EVTOPTA1203;OK;OK;OK;;OK;;;;;;;;;x
EVTNAME1204;The Treaty of Munich - Czechoslovakia refuses claims;Les Accords de Munich - La Tchécoslovaquie refuse les exigences;Das Münchner Abkommen - Tschechoslowakei weist Ansprüche zurück;;Los Acuerdos de Munich: Checoslovaquia se niega a aceptar las exigencias;;;;;;;;;x
EVTDESC1204;During the summer of 1938 pro-Nazi elements among Czech Germans demanded the right to secede from Czechoslovakia, a move that created enormous tension between Germany and Czechoslovakia. Hitler, using the minority sentiments in Sudetenland, began propagandizing about ‘Czech Atrocities’ against ethnic Germans in an effort to lay blame for a future conflict on the Czech government. At the same time as German troops infiltrated the Bohemian borderlands Hitler agreed to host a Peace Conference in Munich. Hitler, Chamberlain, Daladier, and Mussolini met and agreed that Hitler should have the Sudetenland of Czechoslovakia. The Czechs, who were not represented at the meeting, realised that their own allies were deserting them and under pressure from the French and British they were forced to surrender the Sudetenland to Germany.;"Au cours de l'été 1938, les éléments pro nazis de la minorité allemande de Tchécoslovaquie exigent le rattachement de leurs régions à l'Allemagne, ce qui créé d'importantes tensions entre l'Allemagne et la Tchécoslovaquie. Hitler, jouant sur les ressentiments de la minorité sudète, lance une vaste opération de propagande dénonçant les 'Atrocités tchécoslovaques' contre la minorité allemande, afin de pouvoir faire porter le chapeau au gouvernement tchécoslovaque dans le cas d'un conflit ultérieur. Alors que des troupes allemandes infiltrent les régions frontalières de Bohème, Hitler accepte d'organiser une conférence de paix à Munich. Hitler, Chamberlain, Daladier et Mussolini y participent et conviennent de l'annexion des Sudètes par Hitler. Les Tchécoslovaques, qui n'ont pas participé à la conférence, réalisent que leur alliés les abandonnent et qu'ils sont, soumis à la pression de la France et de l'Angleterre, forcés de livrer les Sudètes à l'Allemagne. Hitler garantit aux autres nations que ses ambitions expansionnistes n'iront pas au-delà. Chamberlain revient en Angleterre avec un document ratifié par Hitler, proclamant la ""paix pour notre époque""...";Während des Sommers von 1938 forderten die nationalsozialistisch Gesinnten unter der deutschen Minderheit in der Tschechoslowakei das Recht zur Abspaltung, was zwischen Deutschland und der Tschechoslowakei zu enormen Spannungen führte. Hitler machte sich diese Ansichten mancher Sudetendeutschen zunutze und startete einen Propagandafeldzug gegen vermeintliche tschechische Gräueltaten gegen Volksdeutsche, um die Schuld für einen zukünftigen Konflikt der tschechischen Regierung in die Schuhe zu schieben. Zur gleichen Zeit, als deutsche Truppen das böhmische Grenzland infiltrierten, stimmte Hitler einer Friedenskonferenz in München zu. Dort trafen sich Chamberlain, Daladier, Mussolini und Hitler und beschlossen die Abtretung des Sudetenlands an Deutschland. Die Tschechen, die nicht an der Konferenz teilnahmen, bemerkten wohl, dass sie von ihren Alliierten im Stich gelassen wurden, mussten das Sudetenland jedoch unter französischem und britischem Druck hergeben.;;Durante el verano de 1938, los elementos pronazis entre los checos alemanes exigieron el derecho a separarse de Checoslovaquia, acción que creó una enorme tensión entre este país y Alemania. Hitler, utilizando los sentimientos de la minoría de los Sudetes, comenzó a lanzar propaganda sobre las 'atrocidades checas' contra los miembros de la etnia alemana, con el propósito de culpar al Gobierno checo de un futuro conflicto. Al mismo tiempo que las tropas alemanas se infiltraban por la frontera de Bohemia, Hitler aceptó celebrar una Conferencia de Paz en Munich. Hitler, Chamberlain, Daladier y Mussolini se reunieron y aceptaron que Hitler se quedase con los Sudetes en Checoslovaquia. Los checos, que no estaban representados en la conferencia, comprendieron que sus propios aliados les abandonaban y, ante la presión de franceses y británicos, fueron obligados a entregar los Sudetes a Alemania.;;;;;;;;;x
EVTOPTA1204;We dare not attack them outright;Nous n'osons pas les attaquer directement;Wir wagen nicht, sie unverhohlen anzugreifen;;No nos atrevemos a atacarles abiertamente;;;;;;;;;x
EVTOPTB1204;What they will not give, we shall take!;Ce qu'ils ne veulent pas nous donner, nous le prendrons !;Was sie uns nicht geben, werden wir uns nehmen!;;¡Lo que no nos den, lo tomaremos!;;;;;;;;;x
EVTNAME1205;The First Vienna Award;Le premier Arbitrage de Vienne;Erster Wiener Schiedsspruch;;Primer arbitraje de Viena;;;;;;;;;x
EVTDESC1205;After the swallowing of the Sudetenland, Hitler used a small group of Slovakian patriots around Tiso, more or less forcing them to proclaim an independent Slovakia. At the same time German troops started to move across the Czechoslovakian border on the pretext of ‘protecting’ the Slovak people. Swiftly demanding the Czech president come to Germany to discuss recent ‘Czech problems’ Hitler managed to isolate and threaten the Czech leader into submission. A few days later the German Army had full control of the former Czechoslovakia.;"Après l'annexion des Sudètes, Hitler manipule un petit groupe de nationalistes slovaques mené par Mgr Tiso, les amenant à proclamer l'indépendance de la Slovaquie. Au même moment, les troupes allemandes pénètrent en Tchécoslovaquie, prétextant la nécessité de 'protéger' le peuple slovaque. Exigeant la venue du président tchèque en Allemagne afin de discuter des 'récents problèmes en Tchécoslovaquie"", Hitler parvient à l'isoler et à le contraindre à se soumettre sous la menace. Quelques jours plus tard, l'armée allemande contrôle la totalité du territoire de l'ex-Tchécoslovaquie.";Nach der Einverleibung des Sudetenlands zwang Hitler eine Gruppe slowakischer Patrioten um Tiso, die Slowakei für unabhängig zu erklären. Gleichzeitig überquerten deutsche Truppen die tschechoslowakische Grenze unter dem Vorwand, das slowakische Volk schützen zu wollen. Hitler bestellte den tschechischen Präsidenten zur Besprechung der jüngsten ‘tschechischen Probleme’ eilig nach Deutschland, wo er ihn isolieren und zum Einlenken zwingen konnte. Wenige Tage später hatte die Wehrmacht völlige Kontrolle über die ehemalige Tschechoslowakei.;;Tras la absorción de los Sudetes, Hitler utilizó a un grupo de patriotas eslovacos reunidos en torno a Tiso, forzándoles casi a proclamar la independencia de Eslovaquia. Al mismo tiempo, las tropas alemanas empezaron a cruzar la frontera checoslovaca con el pretexto de 'proteger' al pueblo eslovaco. Exigiendo al presidente checo que se presentase de inmediato en Alemania para discutir recientes 'problemas checos', Hitler consiguió aislar y someter mediante amenazas al líder checo. Unos días más tarde, el ejército alemán controlaba por completo la antigua Checoslovaquia.;;;;;;;;;x
EVTOPTA1205;Accept the inevitable;Accepter l'inévitable;Akzeptieren, die Lage ist aussichtslos;;Aceptar lo inevitable;;;;;;;;;x
EVTOPTB1205;Fight!;Se battre !;Kämpfen!;;¡Luchar!;;;;;;;;;x
EVTNAME1207;The End of Czechoslovakia - Czechs annexed;La fin de la Tchécoslovaquie - Les Tchèques annexés;Das Ende der Tschechoslowakei - Tschechei annektiert;;El fin de Checoslovaquia: Los checos son anexionados;;;;;;;;;x
EVTDESC1207;After the swallowing of the Sudetenland, Hitler used a small group of Slovakian patriots around Tiso, more or less forcing them to proclaim an independent Slovakia. At the same time German troops started to move across the Czechoslovakian border on the pretext of ‘protecting’ the Slovak people. Swiftly demanding the Czech president come to Germany to discuss recent ‘Czech problems’ Hitler managed to isolate and threaten the Czech leader into submission. A few days later the German Army had full control of the former Czechoslovakia.;"Après l'annexion des Sudètes, Hitler manipule un petit groupe de nationalistes slovaques mené par Mgr Tiso, les amenant à proclamer l'indépendance de la Slovaquie. Au même moment, les troupes allemandes pénètrent en Tchécoslovaquie, prétextant la nécessité de 'protéger' le peuple slovaque. Exigeant la venue du président tchèque en Allemagne afin de discuter des 'récents problèmes en Tchécoslovaquie"", Hitler parvient à l'isoler et à le contraindre à se soumettre sous la menace. Quelques jours plus tard, l'armée allemande contrôle la totalité du territoire de l'ex-Tchécoslovaquie.";Nach der Einverleibung des Sudetenlands zwang Hitler eine Gruppe slowakischer Patrioten um Tiso, die Slowakei für unabhängig zu erklären. Gleichzeitig überquerten deutsche Truppen die tschechoslowakische Grenze unter dem Vorwand, das slowakische Volk schützen zu wollen. Hitler bestellte den tschechischen Präsidenten zur Besprechung der jüngsten ‘tschechischen Probleme’ eilig nach Deutschland, wo er ihn isolieren und zum Einlenken zwingen konnte. Wenige Tage später hatte die Wehrmacht völlige Kontrolle über die ehemalige Tschechoslowakei. ;;Tras la absorción de los Sudetes, Hitler utilizó a un grupo de patriotas eslovacos reunidos en torno a Tiso, forzándoles casi a proclamar la independencia de Eslovaquia. Al mismo tiempo, las tropas alemanas empezaron a cruzar la frontera checoslovaca con el pretexto de 'proteger' al pueblo eslovaco. Exigiendo al presidente checo que se presentase de inmediato en Alemania para discutir recientes 'problemas checos', Hitler consiguió aislar y someter mediante amenazas al líder checo. Unos días más tarde, el ejército alemán controlaba por completo la antigua Checoslovaquia.;;;;;;;;;x
EVTOPTA1207;OK;OK;OK;;OK;;;;;;;;;x
EVTNAME1208;The End of Czechoslovakia - The Czechs want to fight!;La fin de la Tchécoslovaquie - Les Tchèques veulent se battre !;Das Ende der Tschechoslowakei - Die Tschechen wollen kämpfen!;;El fin de Checoslovaquia: ¡Los checos quieren luchar!;;;;;;;;;x
